state,year,month,cases,mean_temp,relative_hum,prec,prec_sum,humi_spe,temp_max,temp_min,temp_avg,dew_point
Kerala,2011,1,68,23.47,72.81,0.04,0,13.18,32.3,16.42,24.36,17.61
Kerala,2011,2,41,24.9,65.56,1.58,47.46,12.63,33.97,16.1,25.035,16.65
Kerala,2011,3,54,27.33,61,0.44,10.55,13.37,36.56,18.12,27.34,17.42
Kerala,2011,4,53,27.2,72.94,4.01,105.47,16.42,36.91,22.5,29.705,21.04
Kerala,2011,5,84,26.72,79.38,4.33,121.29,17.7,34.47,22.46,28.465,22.43
Kerala,2011,6,168,24.65,89.62,14.35,427.15,18.01,28.45,20.48,24.465,22.73
Kerala,2011,7,129,23.44,91,11.87,348.05,17.03,27.47,20.42,23.945,21.78
Kerala,2011,8,146,23.6,91.62,10.61,326.95,17.27,27.4,20.59,23.995,22.07
Kerala,2011,9,115,23.9,90.38,8.1,242.58,17.33,28.67,20.73,24.7,22.12
Kerala,2011,10,188,24.36,87,6.82,205.66,17.09,29.44,20.51,24.975,21.9
Kerala,2011,11,116,23.51,83,4.5,126.56,15.5,29.06,16.71,22.885,20.22
Kerala,2011,12,142,23.3,74.88,0.6,15.82,13.61,31.5,14.7,23.1,17.91
Kerala,2012,1,187,24.61,64.56,0.01,0,12.27,32.8,15.95,24.375,16.33
Kerala,2012,2,170,26.49,52.69,0.22,5.27,10.8,37.65,17.13,27.39,13.73
Kerala,2012,3,131,28.19,60.69,0.28,5.27,14.04,37.62,20.9,29.26,18.37
Kerala,2012,4,71,27.4,74.44,4.63,131.84,16.97,36.6,22.85,29.725,21.62
Kerala,2012,5,162,26.3,81.81,1.93,47.46,17.94,33.54,22.4,27.97,22.64
Kerala,2012,6,602,24.61,87.62,11.33,348.05,17.52,31.04,21.37,26.205,22.25
Kerala,2012,7,705,24.21,90.62,6.36,189.84,17.76,27.71,20.93,24.32,22.47
Kerala,2012,8,529,23.81,90.44,9.02,274.22,17.27,28.68,20.91,24.795,22.04
Kerala,2012,9,336,24.05,89.19,4.5,121.29,17.21,28.58,20.71,24.645,22.02
Kerala,2012,10,414,24.58,85.62,6.21,189.84,17.03,30.02,20.62,25.32,21.83
Kerala,2012,11,348,24.02,80.69,3.26,94.92,15.5,30.03,16.77,23.4,20.22
Kerala,2012,12,401,25.16,69,0.21,0,13.85,32.55,17.58,25.065,18.36
Kerala,2013,1,344,26.07,58.25,0.01,0,11.9,34.44,18.58,26.51,15.76
Kerala,2013,2,170,26.47,60.88,1.55,36.91,12.82,35.83,17.23,26.53,16.8
Kerala,2013,3,186,28.1,62.88,0.97,21.09,14.65,37.19,19.04,28.115,18.98
Kerala,2013,4,451,28.77,65,0.32,5.27,15.99,38.98,22.45,30.715,20.66
Kerala,2013,5,1035,27.06,77.25,4.32,121.29,17.58,35.5,22.28,28.89,22.28
Kerala,2013,6,2161,24.37,90.5,21.37,638.09,17.88,28.71,21.65,25.18,22.6
Kerala,2013,7,1864,23.44,92.5,17.7,548.44,17.33,26.72,21.12,23.92,22.09
Kerala,2013,8,790,23.72,91.81,7.38,221.48,17.46,28.96,21,24.98,22.23
Kerala,2013,9,345,23.89,89.94,5.33,163.48,17.27,28.76,20.69,24.725,22.04
Kerala,2013,10,248,24.12,89,5.71,168.75,17.27,29.16,20.58,24.87,22.09
Kerala,2013,11,145,24.26,84.12,3.73,100.2,16.42,29.19,18.69,23.94,21.23
Kerala,2013,12,199,23.41,73.38,0.91,26.37,13.37,30.38,16.44,23.41,17.81
Kerala,2014,1,103,25.17,62.06,0.01,0,12.21,33.48,18.39,25.935,16.36
Kerala,2014,2,72,26.76,58.81,0.08,0,12.57,35.91,18.23,27.07,16.67
Kerala,2014,3,68,28.57,52,0.22,0,12.21,38.17,19.69,28.93,15.73
Kerala,2014,4,65,28.12,71.88,1.73,42.19,17.03,38.58,23.51,31.045,21.59
Kerala,2014,5,131,26.42,83.56,8.89,268.95,18.49,33.58,21.86,27.72,23.13
Kerala,2014,6,352,25.41,89.25,9.21,263.67,18.8,29.14,22.6,25.87,23.4
Kerala,2014,7,404,24.14,92.12,17.63,553.71,18.01,28.65,20.58,24.615,22.7
Kerala,2014,8,358,23.68,92.12,15.38,474.61,17.52,27.95,21.3,24.625,22.26
Kerala,2014,9,240,24.44,90.06,6.56,189.84,17.82,29.45,21.44,25.445,22.59
Kerala,2014,10,304,24.39,87.88,8.93,274.22,17.33,29.22,19.88,24.55,22.12
Kerala,2014,11,233,23.88,82.38,3.3,84.38,15.75,28.98,17.95,23.465,20.48
Kerala,2014,12,218,23.92,78.25,0.72,15.82,14.89,30.01,16.98,23.495,19.58
Kerala,2015,1,130,24.53,66.19,0.01,0,12.57,33.76,16.06,24.91,16.83
Kerala,2015,2,75,26.47,55.19,0.02,0,11.47,35.15,18.58,26.865,15.06
Kerala,2015,3,99,27.76,63.38,1.28,31.64,14.34,36.78,20.16,28.47,18.7
Kerala,2015,4,63,27.18,74.88,3.71,105.47,17.03,35.72,22,28.86,21.73
Kerala,2015,5,255,26.49,82.38,5.52,168.75,18.25,33.45,22.47,27.96,22.9
Kerala,2015,6,922,25.18,87.69,8.95,242.58,18.13,30.7,21.74,26.22,22.83
Kerala,2015,7,844,24.57,89.5,5.44,142.38,17.88,28.44,20.81,24.625,22.59
Kerala,2015,8,514,24.59,89.44,4.42,142.38,17.82,29.51,21.18,25.345,22.59
Kerala,2015,9,294,24.9,87,5.41,158.2,17.64,30.43,21.26,25.845,22.4
Kerala,2015,10,285,25.21,83.94,4.78,137.11,17.27,30.91,20.82,25.865,22.03
Kerala,2015,11,293,24.26,85.38,6.29,174.02,16.66,29.21,17.92,23.565,21.46
Kerala,2015,12,340,24.4,78,1.11,26.37,15.14,32.15,17.3,24.725,19.81
Kerala,2016,1,241,25,65,0.16,5.27,12.63,34.67,16.45,25.56,16.8
Kerala,2016,2,318,27.56,58.62,0.33,10.55,13.18,37.62,17.47,27.545,17.3
Kerala,2016,3,200,29.2,60.56,0.29,5.27,15.01,38.31,22.39,30.35,19.48
Kerala,2016,4,222,29.55,66.94,0.86,15.82,17.09,38.46,24.31,31.385,21.74
Kerala,2016,5,639,27.61,79.06,4.51,137.11,18.55,37.09,23.87,30.48,23.18
Kerala,2016,6,1290,24.87,88.75,11.62,337.5,18.07,29.2,20.98,25.09,22.76
Kerala,2016,7,1264,24.06,91.38,10.77,332.23,17.76,27.46,20.75,24.105,22.48
Kerala,2016,8,1210,24.12,90.19,4.17,126.56,17.52,28.46,19.9,24.18,22.28
Kerala,2016,9,646,23.91,88.56,1.51,36.91,16.91,28.67,19.92,24.295,21.73
Kerala,2016,10,468,25.04,80.81,1.84,47.46,16.3,31.8,20.28,26.04,21.11
Kerala,2016,11,341,25.15,72.75,2.09,63.28,14.47,33.33,18.32,25.825,18.98
Kerala,2016,12,379,25.01,68.62,1.78,58.01,13.37,33.81,17.63,25.72,17.66
Kerala,2017,1,415,25.28,60.81,0.62,21.09,11.96,34.41,17.2,25.805,15.87
Kerala,2017,2,301,26.55,52.31,0.01,0,10.8,37.22,17.82,27.52,13.81
Kerala,2017,3,473,27.29,66.62,2.17,68.55,14.77,37.23,20.33,28.78,19.05
Kerala,2017,4,1206,28.25,71.31,1.57,26.37,17.03,36.87,23.26,30.065,21.71
Kerala,2017,5,2621,26.89,81.56,6.45,200.39,18.43,35.46,21.61,28.535,23.05
Kerala,2017,6,5085,25.05,88.5,10.2,295.31,18.19,29.2,21.47,25.335,22.88
Kerala,2017,7,5555,24.33,90.69,7.18,216.21,17.88,28.37,21.09,24.73,22.6
Kerala,2017,8,3711,24.19,91.56,9.3,274.22,17.88,28.98,21.12,25.05,22.62
Kerala,2017,9,1187,24.52,90.81,12.04,353.32,18.13,29.65,21.23,25.44,22.82
Kerala,2017,10,696,24.55,88.25,5.04,137.11,17.58,28.94,20.29,24.615,22.35
Kerala,2017,11,426,24.55,83.5,2.97,84.38,16.6,29.2,19.88,24.54,21.38
Kerala,2017,12,317,23.53,77.56,1.46,42.19,14.34,30.34,16.45,23.395,18.9
Kerala,2018,1,167,24.76,65.44,0.06,0,12.57,34.12,17.51,25.815,16.8
Kerala,2018,2,95,26.3,55.75,0.38,5.27,11.54,36.3,17.15,26.725,15.08
Kerala,2018,3,72,28.08,59.75,1.19,36.91,13.73,37.58,19.61,28.595,17.59
Kerala,2018,4,73,28.06,73.31,2.83,68.55,17.4,36.98,23.5,30.24,22.02
Kerala,2018,5,441,26.13,85.12,8.28,258.4,18.55,32.68,22.04,27.36,23.22
Kerala,2018,6,1454,24.7,89.75,13.18,395.51,18.13,28.8,20.71,24.755,22.8
Kerala,2018,7,779,24.14,92,16.02,506.25,17.94,28.11,20.73,24.42,22.68
Kerala,2018,8,293,23.58,92.19,15.28,474.61,17.4,27.72,20.58,24.15,22.15
Kerala,2018,9,281,24.29,87.44,3.87,110.74,17.09,29.98,20.05,25.015,21.87
Kerala,2018,10,183,24.7,85.12,7.42,232.03,17.03,29.73,19.9,24.815,21.82
Kerala,2018,11,138,24.55,82.5,3.22,94.92,16.36,29.51,17.72,23.615,21.13
Kerala,2018,12,114,24.96,74.25,0.47,10.55,14.83,32.32,18.01,25.165,19.52
